VideoId,LabelConfidencePairs
/storage/haibn/yt8m/test_lotus/lotus_video_4198.mp4,342 0.999634 8 0.00810653 34 0.00303748 94 0.00283915 7 0.00233579 186 0.00206977 26 0.00191402 64 0.00132743 18 0.00115073 332 0.00109616 16 0.00107807 119 0.00103813 0 0.00103527 146 0.000992715 15 0.000926703 297 0.00087738 113 0.000833303 2 0.000832736 9 0.00079602 36 0.000771582
/storage/haibn/yt8m/test_lotus/lotus_video_7038.mp4,342 0.999928 73 0.0627055 0 0.0564075 21 0.0166424 24 0.0128434 1 0.0117957 23 0.0113685 288 0.0056915 18 0.0055832 242 0.00507626 554 0.00469768 921 0.00375757 358 0.00307876 322 0.00305513 809 0.00303894 676 0.00279251 304 0.00269952 1127 0.00268996 81 0.00265524 315 0.00263664
/storage/haibn/yt8m/test_lotus/lotus_video_7475.mp4,342 0.993345 25 0.0311354 1 0.0192291 0 0.00683108 16 0.00344077 35 0.00313124 268 0.0029206 282 0.00214627 8 0.00138479 9 0.00131539 337 0.00131038 5 0.001286 36 0.000834286 26 0.000827193 34 0.000781149 755 0.000724554 7 0.000711501 354 0.000690818 315 0.000665933 94 0.000628501
/storage/haibn/yt8m/test_lotus/lotus_video_2250.mp4,342 0.975524 0 0.247582 1 0.102929 5 0.0621862 150 0.0104434 16 0.0104166 204 0.00562596 81 0.00521082 73 0.00487223 108 0.00372261 1033 0.00362468 21 0.00345111 23 0.00230119 1064 0.00188091 203 0.00156972 34 0.00152302 809 0.00124997 1228 0.00120333 409 0.00117248 1113 0.00111806
/storage/haibn/yt8m/test_lotus/lotus_video_7633.mp4,342 0.999945 0 0.00417009 66 0.00298592 9 0.00236839 1 0.00196043 34 0.00188872 99 0.00127211 39 0.00094232 193 0.000801623 26 0.000788718 73 0.000787914 315 0.000722349 293 0.000712574 207 0.000643849 21 0.000639915 550 0.000629127 119 0.000529736 10 0.000527292 31 0.00052163 23 0.000501066
/storage/haibn/yt8m/test_lotus/lotus_video_3396.mp4,342 0.998084 5 0.882162 1 0.133139 16 0.0418577 0 0.0335401 25 0.0100226 35 0.0041886 180 0.00361353 18 0.00347021 2 0.00314948 644 0.00273788 7 0.00261042 17 0.00225294 226 0.00184721 534 0.00184464 48 0.00183743 769 0.00157794 15 0.00153613 301 0.00152749 349 0.00150815
/storage/haibn/yt8m/test_lotus/lotus_video_7389.mp4,342 0.999619 0 0.0104126 5 0.00780395 73 0.00686306 34 0.00618958 428 0.00600314 1 0.0051493 186 0.00376546 660 0.00351545 16 0.00342062 595 0.0031721 67 0.00306031 649 0.00278643 209 0.00262403 607 0.00260535 41 0.00214049 51 0.00203249 9 0.00198275 1050 0.00179833 622 0.00176001
/storage/haibn/yt8m/test_lotus/lotus_video_218.mp4,342 0.990602 26 0.00547493 80 0.0025762 16 0.00228781 113 0.00224015 18 0.00220487 21 0.00205371 0 0.00202057 260 0.00199345 23 0.00197896 64 0.0017904 8 0.00171289 5 0.00161374 1 0.00161058 15 0.00160244 119 0.00159311 251 0.00149021 99 0.00121999 194 0.00121731 105 0.00113478
/storage/haibn/yt8m/test_lotus/lotus_video_3935.mp4,32 0.998728 342 0.981291 29 0.957487 11 0.885834 22 0.414144 20 0.202554 221 0.0962243 112 0.0536684 120 0.0270489 767 0.0151027 303 0.014872 692 0.00755447 477 0.00641069 397 0.00551191 752 0.00537536 747 0.0048835 1827 0.00475749 528 0.00475141 1775 0.00414604 444 0.00414431
/storage/haibn/yt8m/test_lotus/lotus_video_2090.mp4,342 0.997123 254 0.0110469 85 0.00848749 1 0.00494674 8 0.00463447 16 0.00431731 66 0.00419879 6 0.00276247 1331 0.00258249 127 0.00242597 242 0.00228611 18 0.00223407 80 0.0021944 517 0.00188708 35 0.00172344 470 0.00161257 277 0.00154588 99 0.00152019 268 0.00149038 1364 0.00146475
