VideoId,LabelConfidencePairs
/storage/haibn/yt8m/test_lotus/lotus_video_7680.mp4,342 0.987985 11 0.267265 1265 0.0328536 20 0.0173179 341 0.0110627 22 0.0091936 26 0.00566456 16 0.00534406 211 0.00529355 29 0.00504851 1 0.00247458 250 0.00175327 791 0.00172395 334 0.00155559 303 0.00148439 477 0.00143203 9 0.00140822 15 0.00138992 99 0.00138962 0 0.00137344
/storage/haibn/yt8m/test_lotus/lotus_video_5796.mp4,342 0.999433 39 0.0889027 121 0.0116796 16 0.0071826 26 0.00581279 5 0.00519267 233 0.00465956 207 0.00459033 156 0.00272211 393 0.00237569 1 0.00220785 688 0.0018945 0 0.00182736 202 0.00136337 136 0.00118133 9 0.00116608 35 0.00116491 370 0.00096187 10 0.000955194 34 0.000948787
/storage/haibn/yt8m/test_lotus/lotus_video_2935.mp4,342 0.998684 5 0.940531 16 0.203931 0 0.0254863 1 0.0178231 84 0.00364199 268 0.00306985 36 0.00169557 362 0.00166783 25 0.000977218 69 0.000905722 19 0.000828117 644 0.0007976 35 0.000714839 169 0.00065732 682 0.00062862 1312 0.000623673 405 0.000594467 34 0.000588208 282 0.000571936
/storage/haibn/yt8m/test_lotus/lotus_video_1052.mp4,342 0.998101 1 0.094517 105 0.0524806 488 0.0268316 0 0.0163659 424 0.0101278 455 0.00415817 5 0.00391757 7 0.0035491 183 0.00349134 192 0.00312346 245 0.00308523 16 0.0029487 26 0.00242114 64 0.00221568 535 0.00199541 157 0.00193465 2 0.00190639 331 0.00154534 193 0.00137898
/storage/haibn/yt8m/test_lotus/lotus_video_9050.mp4,342 0.995273 0 0.0279904 26 0.0270639 39 0.0209519 1684 0.0101769 16 0.00667086 1872 0.00624731 1366 0.0060643 2720 0.0057033 607 0.00498033 1 0.0049606 368 0.00424489 239 0.00315577 136 0.00292051 43 0.00278705 337 0.00273216 315 0.00264212 2228 0.0023447 15 0.00222403 328 0.00213766
/storage/haibn/yt8m/test_lotus/lotus_video_3547.mp4,342 0.999991 0 0.00800666 1 0.00581297 41 0.00474101 8 0.00359017 5 0.00149542 159 0.00126779 429 0.00121459 2 0.00113127 35 0.000857145 16 0.000844449 34 0.000737876 111 0.000722259 52 0.000688732 7 0.000612319 150 0.000589907 17 0.000574291 205 0.000523657 92 0.000496566 438 0.000480443
/storage/haibn/yt8m/test_lotus/lotus_video_1827.mp4,342 0.999951 1 0.0765798 0 0.046092 2 0.0314938 193 0.014751 7 0.00579879 35 0.00353685 36 0.00344959 18 0.00272471 150 0.00232369 69 0.002141 1207 0.00183648 8 0.00170037 196 0.00166693 5 0.00156349 132 0.00154233 1178 0.00141704 280 0.00140595 15 0.00136307 26 0.00110692
/storage/haibn/yt8m/test_lotus/lotus_video_2661.mp4,342 0.998193 43 0.0139916 1 0.00610447 15 0.00480923 18 0.00430846 0 0.00416252 64 0.00242653 752 0.00173226 2583 0.00154054 374 0.0015066 101 0.00144416 823 0.00123802 7 0.00123167 59 0.00121576 196 0.00115627 1576 0.00112623 180 0.00104573 286 0.00104126 26 0.000981987 239 0.000938445
/storage/haibn/yt8m/test_lotus/lotus_video_8778.mp4,342 0.998371 0 0.0225781 1 0.0176576 5 0.0149585 16 0.0082016 26 0.00807935 15 0.00281239 18 0.0021199 900 0.00166732 315 0.00131392 36 0.00131157 64 0.00116387 170 0.00104985 327 0.00104752 35 0.00101113 119 0.000965565 186 0.000933588 113 0.00086993 146 0.000855654 17 0.000852138
/storage/haibn/yt8m/test_lotus/lotus_video_5133.mp4,342 0.995818 1 0.079979 285 0.0379433 645 0.0277327 375 0.015719 25 0.0157032 124 0.0145651 43 0.0142218 36 0.0128976 0 0.0114325 665 0.0109296 268 0.00977558 94 0.00871751 317 0.00827903 423 0.00602621 159 0.0056316 663 0.00529978 71 0.0049324 420 0.00391242 180 0.00349349
/storage/haibn/yt8m/test_lotus/lotus_video_2531.mp4,342 0.997113 419 0.290907 60 0.171416 289 0.115071 1055 0.0784172 571 0.0692826 43 0.0568183 96 0.0567243 2 0.0521981 385 0.0434066 239 0.0379799 428 0.029513 76 0.027539 363 0.0209964 64 0.0190922 1 0.0162994 1389 0.016173 340 0.0111976 17 0.0107761 101 0.0104078
/storage/haibn/yt8m/test_lotus/lotus_video_6769.mp4,342 0.998358 0 0.815965 12 0.176233 689 0.0383555 1224 0.0134848 91 0.00459853 705 0.00261235 696 0.00233668 9 0.000881433 1 0.000827193 874 0.000659406 7 0.000655413 226 0.000533909 210 0.000533909 309 0.000527501 34 0.000476718 2434 0.000437617 1281 0.000405192 193 0.000384986 538 0.000338018
/storage/haibn/yt8m/test_lotus/lotus_video_5081.mp4,342 0.996651 1 0.0245432 0 0.018778 16 0.00702658 8 0.0029875 25 0.00272903 242 0.00264114 5 0.00199211 60 0.00182194 64 0.00173804 119 0.00144523 470 0.00137016 113 0.0013518 17 0.00120729 19 0.00112319 203 0.000953346 254 0.000949174 7 0.000894457 71 0.000849366 146 0.000794202
/storage/haibn/yt8m/test_lotus/lotus_video_2768.mp4,342 0.999981 1 0.0502021 0 0.022089 35 0.0128988 5 0.00718859 134 0.0063493 19 0.00517184 8 0.00473693 92 0.00327209 517 0.00294778 16 0.00260514 25 0.00260103 349 0.00216573 535 0.00208399 595 0.00169089 7 0.00163269 1826 0.00158349 478 0.00151464 239 0.00142857 159 0.00133309
/storage/haibn/yt8m/test_lotus/lotus_video_793.mp4,342 0.998893 5 0.990264 16 0.16956 0 0.0222536 1 0.0216844 244 0.00262439 292 0.0023497 35 0.00170991 136 0.00161991 1082 0.00134754 8 0.00104502 1903 0.000942051 647 0.000935793 733 0.000874281 34 0.000863284 1211 0.000813782 1448 0.000788718 9 0.000784874 1829 0.00074181 81 0.000740975
/storage/haibn/yt8m/test_lotus/lotus_video_5301.mp4,342 0.998486 0 0.0508578 1 0.0209676 5 0.00403246 26 0.00317436 7 0.00304535 16 0.00227955 2 0.00207198 8 0.00171173 17 0.00110507 15 0.000815719 36 0.000793517 193 0.000723362 43 0.000711143 18 0.000706553 64 0.000703067 268 0.000672489 69 0.000629276 150 0.000581205 203 0.000511855
/storage/haibn/yt8m/test_lotus/lotus_video_4902.mp4,342 0.999227 1 0.111466 0 0.0737062 5 0.0394866 71 0.0116986 16 0.00969711 150 0.00731775 8 0.00650522 204 0.00553837 152 0.00411454 25 0.00260869 69 0.00247404 35 0.00203165 7 0.00166485 242 0.00135365 68 0.00134301 136 0.00132605 72 0.00111911 36 0.000973314 193 0.000971526
/storage/haibn/yt8m/test_lotus/lotus_video_8483.mp4,342 0.998679 26 0.00905594 298 0.00707236 45 0.00691009 0 0.00528765 1 0.0048089 19 0.00465542 16 0.00395772 2 0.00338885 64 0.00289598 137 0.00235355 113 0.00218737 7 0.00218683 119 0.00194004 17 0.00175577 51 0.00163051 5 0.00154519 186 0.00140518 99 0.00120303 105 0.00119865
/storage/haibn/yt8m/test_lotus/lotus_video_5483.mp4,342 0.990582 1 0.0972135 25 0.0543009 36 0.0245741 15 0.0154408 0 0.0144616 282 0.0084531 18 0.0051859 35 0.00510263 94 0.00449821 159 0.00297114 239 0.0029633 16 0.00289416 626 0.00216392 484 0.00212428 337 0.00187874 157 0.00169817 517 0.00168759 268 0.00143787 285 0.00143677
/storage/haibn/yt8m/test_lotus/lotus_video_3680.mp4,342 0.992106 39 0.973153 121 0.476654 338 0.443782 156 0.368709 207 0.216423 529 0.0341828 1104 0.0191325 1086 0.0113041 202 0.00778452 627 0.00641531 233 0.00590253 94 0.00192219 36 0.00115049 2370 0.00110841 16 0.00101566 147 0.000965804 26 0.000948489 0 0.000926256 80 0.000898808
/storage/haibn/yt8m/test_lotus/lotus_video_6109.mp4,342 0.977449 2 0.0157619 251 0.0142833 64 0.0117733 333 0.00708336 347 0.00672644 313 0.00555369 298 0.0048559 62 0.00484717 411 0.00424978 45 0.00364423 17 0.00345835 15 0.00325072 88 0.00280079 5 0.00264835 26 0.00217617 72 0.00195146 68 0.00190589 113 0.00189143 1 0.00188226
/storage/haibn/yt8m/test_lotus/lotus_video_3046.mp4,342 0.994013 1 0.0174227 0 0.0110073 14 0.0108458 25 0.00898877 26 0.00216749 16 0.00213569 337 0.00174421 9 0.0016515 35 0.00154015 34 0.00153062 242 0.0012387 8 0.00108474 438 0.000960499 459 0.000950068 332 0.000931859 420 0.000920624 196 0.000788689 105 0.00074026 268 0.000716239
/storage/haibn/yt8m/test_lotus/lotus_video_290.mp4,342 0.997695 18 0.0383747 0 0.0244418 1 0.0166504 15 0.013903 5 0.00658929 67 0.00438052 35 0.0041503 43 0.00352281 19 0.00234699 59 0.00194332 16 0.00168541 8 0.0015384 26 0.00147676 140 0.00131667 17 0.00123873 170 0.00114626 60 0.00107816 64 0.000962168 69 0.000840098
/storage/haibn/yt8m/test_lotus/lotus_video_5642.mp4,342 0.998901 8 0.0312383 0 0.021786 1 0.0100364 35 0.007972 16 0.00420162 5 0.00301769 268 0.00177619 26 0.0015696 453 0.0014815 150 0.00147104 159 0.0012905 193 0.00124884 242 0.00109258 301 0.00108334 110 0.00105569 917 0.000982106 396 0.000865072 438 0.000829846 71 0.000798017
/storage/haibn/yt8m/test_lotus/lotus_video_604.mp4,342 0.999359 119 0.140112 289 0.133363 1 0.132336 113 0.122792 64 0.100339 2 0.053178 465 0.0388686 1781 0.0366997 2032 0.0366741 519 0.0351514 475 0.0273775 666 0.023328 1238 0.0225225 16 0.018868 419 0.018611 777 0.0175184 1404 0.0141767 2719 0.0081487 571 0.00750047
